h3_cell,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
594902714807222271,Audenge,Audenge,44.6847,-1.0119,France,FR,FRA,Nouvelle-Aquitaine,,9371,1250207639
595029682630426623,Molsheim,Molsheim,48.54,7.49,France,FR,FRA,Grand Est,minor,9359,1250680488
594902147871539199,Savenay,Savenay,47.3619,-1.9406,France,FR,FRA,Pays de la Loire,,9350,1250779421
595484511077138431,Aucamville,Aucamville,43.6697,1.4311,France,FR,FRA,Occitanie,,9349,1250377997
595485378660532223,Valréas,Valreas,44.385,4.9911,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9346,1250026061
595033075654590463,Nogent-le-Rotrou,Nogent-le-Rotrou,48.3225,0.8225,France,FR,FRA,Centre-Val de Loire,minor,9341,1250164091
595485095192690687,Lançon-Provence,Lancon-Provence,43.593,5.1286,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9340,1250202221
595484837494652927,Tonneins,Tonneins,44.3906,0.3092,France,FR,FRA,Nouvelle-Aquitaine,,9337,1250168219
594904329714925567,Ouistreham,Ouistreham,49.28,-0.26,France,FR,FRA,Normandie,,9331,1250205625
594902147871539199,Nort-sur-Erdre,Nort-sur-Erdre,47.4403,-1.4972,France,FR,FRA,Pays de la Loire,,9327,1250578955
595484562616745983,L’Isle-Jourdain,L'Isle-Jourdain,43.6144,1.0817,France,FR,FRA,Occitanie,,9324,1250347605
595031735624794111,Hagondange,Hagondange,49.255,6.1686,France,FR,FRA,Grand Est,,9321,1250298487
594904200865906687,Redon,Redon,47.6522,-2.0836,France,FR,FRA,Bretagne,minor,9312,1250563349
594902714807222271,Saint-Jean-d’Illac,Saint-Jean-d'Illac,44.8106,-0.7825,France,FR,FRA,Nouvelle-Aquitaine,,9304,1250364390
595030636113166335,Livron-sur-Drôme,Livron-sur-Drome,44.7736,4.8439,France,FR,FRA,Auvergne-Rhône-Alpes,,9298,1250746606
595485352890728447,Le Crès,Le Cres,43.6481,3.9397,France,FR,FRA,Occitanie,,9295,1250254998
595484588386549759,Clermont-l’Hérault,Clermont-l'Herault,43.6281,3.4331,France,FR,FRA,Occitanie,,9269,1250938545
595484511077138431,Launaguet,Launaguet,43.675,1.4578,France,FR,FRA,Occitanie,,9260,1250183524
595032912445833215,Bures-sur-Yvette,Bures-sur-Yvette,48.6969,2.1639,France,FR,FRA,Île-de-France,,9254,1250501258
595031976142962687,Escaudain,Escaudain,50.335,3.343,France,FR,FRA,Hauts-de-France,,9253,1250074443
594920264043593727,Lesquin,Lesquin,50.5906,3.1117,France,FR,FRA,Hauts-de-France,,9241,1250102506
595030773552119807,Paray-le-Monial,Paray-le-Monial,46.4519,4.1203,France,FR,FRA,Bourgogne-Franche-Comté,,9239,1250140703
595030507264147455,Belley,Belley,45.7667,5.6833,France,FR,FRA,Auvergne-Rhône-Alpes,minor,9239,1250947929
595032852316291071,Joigny,Joigny,47.9831,3.3978,France,FR,FRA,Bourgogne-Franche-Comté,,9218,1250663202
595031288948195327,Évian-les-Bains,Evian-les-Bains,46.3833,6.5833,France,FR,FRA,Auvergne-Rhône-Alpes,,9214,1250622011
595031658315382783,Mont-Saint-Martin,Mont-Saint-Martin,49.5411,5.78,France,FR,FRA,Grand Est,,9202,1250537534
594905145758711807,Landivisiau,Landivisiau,48.51,-4.0669,France,FR,FRA,Bretagne,,9192,1250404216
594902439929315327,Capbreton,Capbreton,43.6431,-1.4311,France,FR,FRA,Nouvelle-Aquitaine,,9185,1250051541
595030524444016639,Ville-la-Grand,Ville-la-Grand,46.2031,6.2475,France,FR,FRA,Auvergne-Rhône-Alpes,,9169,1250808704
